,X1,X2,labels,Name,Position,PPG,APG,RPG,,,,,,,,,
392,-1.212347046,1.995187512,Combo Guards,Raul Neto,G,5.3,2.5,1.7,,,,,,,,,
415,-2.00356801,2.909798527,Combo Guards,Tony Parker,G,9.5,3.7,1.5,,,,,,,,,
418,-2.350210113,2.097681795,Combo Guards,Chris Paul,G,15.6,8.2,4.6,,,,,,,,,
419,-1.972521113,1.015453969,Combo Guards,Cameron Payne,G,5.7,2.7,1.7,,,,,,,,,
421,-1.636741234,2.055501925,Combo Guards,Elfrid Payton,G,10.6,7.6,5.3,,,,,,,,,
450,-1.901860776,1.794051569,Combo Guards,Rajon Rondo,G,9.2,8,5.3,,,,,,,,,
451,-1.905221138,1.48274545,Combo Guards,Derrick Rose,G,18,4.3,2.7,,,,,,,,,
454,-2.368443128,1.541072168,Combo Guards,Ricky Rubio,G,12.7,6.1,3.6,,,,,,,,,
455,-3.06977231,2.329976378,Combo Guards,D'Angelo Russell,G,21.1,7,3.9,,,,,,,,,
460,-1.513887096,1.09203815,Combo Guards,Tomas Satoransky,GF,8.9,5,3.5,,,,,,,,,
479,-3.036109281,1.90255507,Combo Guards,Dennis Smith Jr.,G,14.7,5.4,2.8,,,,,,,,,
480,-1.756464148,1.165543084,Combo Guards,Ish Smith,G,8.9,3.6,2.6,,,,,,,,,
494,-2.920312647,2.807177622,Combo Guards,Jeff Teague,G,12.1,8.2,2.5,,,,,,,,,
497,-1.099774395,2.25377486,Combo Guards,Milos Teodosic,G,3.2,2.1,1,,,,,,,,,
520,-0.800582957,1.370919661,Combo Guards,Dwyane Wade,G,15,4.2,4,,,,,,,,,
524,-2.177983573,0.985971393,Combo Guards,Kemba Walker,G,25.6,5.9,4.4,,,,,,,,,
526,-2.497521652,2.911640808,Combo Guards,John Wall,G,20.7,8.7,3.6,,,,,,,,,
527,-0.95474634,1.381403738,Combo Guards,Brad Wanamaker,G,3.9,1.6,1.1,,,,,,,,,
531,-0.910006608,1.379656189,Combo Guards,Thomas Welsh,C,1.6,0.5,0.4,,,,,,,,,
532,-0.726232109,2.654701548,Combo Guards,Russell Westbrook,G,22.9,10.7,11.1,,,,,,,,,
10,3.982403473,0.789172591,Defensive Centers,Jarrett Allen,C,10.9,1.4,8.4,,,,,,,,,
58,4.362090566,0.648363901,Defensive Centers,Andrew Bogut,C,3.5,1,5,,,,,,,,,
96,5.636633731,1.10198799,Defensive Centers,Clint Capela,C,16.6,1.4,12.6,,,,,,,,,
107,5.412515195,0.948122616,Defensive Centers,Tyson Chandler,C,3.7,0.9,5.6,,,,,,,,,
135,4.077719828,1.048892392,Defensive Centers,Anthony Davis,FC,25.9,3.9,12,108,4.193742982,0.831178294,Defensive Centers,Tyson Chandler,C,3.1,0.6,5.6
137,5.53638135,0.400746228,Defensive Centers,Ed Davis,C,5.8,0.8,8.6,,,,,,,,,
157,5.893847394,-0.685243562,Defensive Centers,Andre Drummond,C,17.3,1.4,15.6,,,,,,,,,
164,4.642965196,0.551410577,Defensive Centers,Joel Embiid,FC,27.5,3.7,13.6,,,,,,,,,
174,3.866675508,0.378515842,Defensive Centers,Derrick Favors,FC,11.8,1.2,7.4,,,,,,,,,
199,6.811026941,1.94375734,Defensive Centers,Rudy Gobert,C,15.9,2,12.8,,,,,,,,,
251,4.337843295,-0.400707098,Defensive Centers,Dwight Howard,C,12.8,0.4,9.2,,,,,,,,,
289,6.244490771,0.686945573,Defensive Centers,DeAndre Jordan,C,11,2,13.7,,,,,,,,,
290,5.636030094,2.090642966,Defensive Centers,DeAndre Jordan,C,10.9,3,11.3,,,,,,,,,
342,4.564921858,1.567843277,Defensive Centers,Boban Marjanovic,C,7.1,0.6,4.5,,,,,,,,,
353,5.203507192,1.143249484,Defensive Centers,JaVale McGee,C,12,0.7,7.6,,,,,,,,,
449,5.373722975,2.176496895,Defensive Centers,Mitchell Robinson,C,7.3,0.6,6.4,,,,,,,,,
507,3.958919065,-0.035930798,Defensive Centers,KarlAnthony Towns,FC,24.4,3.4,12.4,,,,,,,,,
515,4.755659802,0.405145283,Defensive Centers,Jonas Valanciunas,C,19.9,2.2,10.7,,,,,,,,,
534,6.675151412,0.154424805,Defensive Centers,Hassan Whiteside,C,12.3,0.8,11.4,,,,,,,,,
4,2.649353214,0.837172839,Offensive Centers,Bam Adebayo,CF,8.9,2.2,7.3,,,,,,,,,
17,3.39847533,2.422121459,Offensive Centers,Giannis Antetokounmpo,F,27.7,5.9,12.5,,,,,,,,,
24,3.6232984,0.891518375,Offensive Centers,Deandre Ayton,C,16.3,1.8,10.3,,,,,,,,,
44,1.726252009,2.052048872,Offensive Centers,Jordan Bell,F,3.3,1.1,2.7,,,,,,,,,
50,3.047861269,1.720202888,Offensive Centers,Khem Birch,C,4.8,0.8,3.8,,,,,,,,,
51,3.546434911,1.159644182,Offensive Centers,Bismack Biyombo,C,4.4,0.6,4.6,,,,,,,,,
124,2.666603003,0.885409204,Offensive Centers,DeMarcus Cousins,C,16.3,3.6,8.2,,,,,,,,,
136,3.185755213,1.45889201,Offensive Centers,Deyonta Davis,CF,4,0.6,3.9,,,,,,,,,
167,2.630434699,1.587010062,Offensive Centers,Drew Eubanks,F,1.8,0.3,1.5,,,,,,,,,
175,2.282971563,0.880050976,Offensive Centers,Cristiano Felicio,FC,4,0.6,3.7,,,,,,,,,
197,1.245103423,1.828619433,Offensive Centers,Harry Giles III,FC,7,1.5,3.8,,,,,,,,,
203,3.702478477,1.345001882,Offensive Centers,Marcin Gortat,C,5,1.4,5.6,,,,,,,,,
220,2.645331008,1.61845219,Offensive Centers,Montrezl Harrell,FC,16.6,2,6.5,,,,,,,,,
246,3.458890886,1.775147601,Offensive Centers,Richaun Holmes,FC,8.2,0.9,4.7,,,,,,,,,
249,1.743629216,1.07233963,Offensive Centers,Al Horford,FC,13.6,4.1,6.7,,,,,,,,,
270,3.056745967,1.556443679,Offensive Centers,Amile Jefferson,F,2.3,0.3,1.8,,,,,,,,,
283,1.3859596,2.22586724,Offensive Centers,Nikola Jokic,C,20.1,7.3,10.8,,,,,,,,,
285,2.551273575,2.602161396,Offensive Centers,Damian Jones,C,5.4,1.2,3.1,,,,,,,,,
305,2.703942789,0.918822245,Offensive Centers,Kosta Koufos,C,3.7,0.9,4.2,,,,,,,,,
327,2.682720174,1.543355827,Offensive Centers,Kevon Looney,F,6.3,1.5,5.2,,,,,,,,,
329,1.820261857,0.915862326,Offensive Centers,Robin Lopez,C,9.5,1.2,3.9,,,,,,,,,
381,2.178033598,1.669291709,Offensive Centers,Johnathan Motley,F,4.6,0.5,2.3,,,,,,,,,
391,1.926689618,0.877651204,Offensive Centers,Nene,CF,3.6,0.6,2.9,,,,,,,,,
394,3.549080388,2.330757771,Offensive Centers,Joakim Noah,C,7.1,2.1,5.7,,,,,,,,,
395,3.495889517,1.368130651,Offensive Centers,Nerlens Noel,FC,4.9,0.6,4.2,,,,,,,,,
399,3.958729101,1.577074352,Offensive Centers,Jusuf Nurkic,C,15.6,3.2,10.4,,,,,,,,,
408,2.514537421,2.239027805,Offensive Centers,Kyle O'Quinn,C,3.5,1.2,2.6,,,,,,,,,
412,2.421719771,1.479277871,Offensive Centers,Zaza Pachulia,C,3.9,1.3,3.9,,,,,,,,,
423,2.837393149,1.838354075,Offensive Centers,Mason Plumlee,FC,7.8,3,6.4,,,,,,,,,
424,1.911297179,2.755919239,Offensive Centers,Miles Plumlee,C,4.4,0.9,2.2,,,,,,,,,
425,3.828466371,2.134719529,Offensive Centers,Jakob Poeltl,C,5.5,1.2,5.3,,,,,,,,,
446,1.817894618,1.902590295,Offensive Centers,Devin Robinson,F,6.7,0.9,2.9,,,,,,,,,
473,0.75210249,3.982361101,Offensive Centers,Ben Simmons,GF,16.9,7.7,8.8,,,,,,,,,
513,3.578131544,2.828061346,Offensive Centers,Ekpe Udoh,CF,2.3,0.5,1.8,,,,,,,,,
536,4.079071423,1.962727929,Offensive Centers,Robert Williams III,CF,2.6,0.2,2.6,,,,,,,,,
538,2.06802496,0.872779323,Offensive Centers,Johnathan Williams,F,6.5,0.5,4.1,,,,,,,,,
2,-1.369359751,0.845848719,Playmaker,Jaylen Adams,G,3.2,1.9,1.8,,,,,,,,,
9,-1.928222161,-0.031488674,Playmaker,Grayson Allen,G,5.6,0.7,0.6,,,,,,,,,
20,-1.597834782,0.299989996,Playmaker,Ryan Arcidiacono,G,6.7,3.3,2.7,,,,,,,,,
27,-2.519639655,0.397624956,Playmaker,Ron Baker,G,1.3,1.2,0.7,,,,,,,,,
28,-1.219311744,0.79696916,Playmaker,Wade Baldwin IV,G,1.9,0.8,0.9,,,,,,,,,
29,-1.594502612,0.581531397,Playmaker,Lonzo Ball,G,9.9,5.4,5.3,,,,,,,,,
40,-1.495005175,0.636968191,Playmaker,Bradley Beal,G,25.6,5.5,5,,,,,,,,,
48,-2.658885369,-0.164338995,Playmaker,Dairis Bertans,G,2.8,0.8,0.8,,,,,,,,,
57,-1.87328855,0.035980376,Playmaker,Bogdan Bogdanovic,G,14.1,3.8,3.5,,,,,,,,,
60,-1.696843088,0.364202749,Playmaker,Isaac Bonga,G,0.9,0.7,1.1,,,,,,,,,
64,-2.032371827,0.06336313,Playmaker,Avery Bradley,G,16.1,4,3.2,,,,,,,,,
69,-1.689064511,0.833870659,Playmaker,Isaiah Briscoe,G,3.5,2.2,1.9,,,,,,,,,
73,-0.859117627,0.08054866,Playmaker,MarShon Brooks,G,6.6,0.9,1.6,,,,,,,,,
77,-1.367480467,0.215060979,Playmaker,Lorenzo Brown,G,2.1,1.1,1.2,,,,,,,,,
85,-1.145973885,-0.122180189,Playmaker,Alec Burks,G,8.4,1.2,1.6,,,,,,,,,
89,-0.94604417,-0.029214241,Playmaker,Jimmy Butler,GF,21.3,4.3,5.2,,,,,,,,,
90,-0.926483245,0.065757808,Playmaker,Jimmy Butler,GF,18.2,4,5.3,,,,,,,,,
94,-1.841671496,-0.021885015,Playmaker,Isaiah Canaan,G,7.5,3.3,2.6,,,,,,,,,
99,-1.999287514,0.155030551,Playmaker,Jevon Carter,G,4.4,1.8,1.7,,,,,,,,,
103,-1.393495477,0.375292204,Playmaker,Alex Caruso,G,9.2,3.1,2.7,,,,,,,,,
115,-1.657857658,-0.211648463,Playmaker,Ian Clark,G,6.7,1.6,1.5,,,,,,,,,
116,-1.420457001,-0.187124365,Playmaker,Jordan Clarkson,G,16.8,2.4,3.3,,,,,,,,,
133,-1.077922995,0.07797851,Playmaker,Stephen Curry,G,27.3,5.2,5.3,,,,,,,,,
168,-1.814418307,0.699526702,Playmaker,Jacob Evans,G,1.3,0.8,0.8,,,,,,,,,
170,-1.212273453,0.050153349,Playmaker,Tyreke Evans,G,10.2,2.4,2.9,,,,,,,,,
176,-1.397311165,0.762565445,Playmaker,Raymond Felton,G,4.3,1.6,1,,,,,,,,,
178,-1.684052944,0.441208021,Playmaker,Yogi Ferrell,G,5.9,1.9,1.5,,,,,,,,,
181,-2.008292672,-0.274040889,Playmaker,Evan Fournier,GF,15.1,3.6,3.2,,,,,,,,,
183,-1.94352929,-0.15785526,Playmaker,Melvin Frazier Jr.,GF,1.5,0.1,0.5,,,,,,,,,
186,-2.12599596,0.443720651,Playmaker,Jimmer Fredette,G,3.7,1.3,1.2,,,,,,,,,
188,-1.552221027,0.453578028,Playmaker,Markelle Fultz,G,8.2,3.1,3.6,,,,,,,,,
198,-1.636995893,0.433423553,Playmaker,Shai GilgeousAlexander,G,10.8,3.3,2.8,,,,,,,,,
221,-1.030381045,0.468291589,Playmaker,Devin Harris,G,6.3,1.8,1.6,,,,,,,,,
224,-1.659251673,0.509105098,Playmaker,Andrew Harrison,G,4.3,1.7,1.5,,,,,,,,,
226,-0.922180226,-0.031287958,Playmaker,Shaquille Harrison,G,6.5,1.9,3,,,,,,,,,
238,-1.532578523,-0.161086408,Playmaker,George Hill,G,10.8,2.8,2.1,,,,,,,,,
241,-1.670643949,0.829615481,Playmaker,Aaron Holiday,G,5.9,1.7,1.3,,,,,,,,,
252,-1.622637977,-0.446271121,Playmaker,Kevin Huerter,G,9.7,2.9,3.3,,,,,,,,,
257,-1.541454139,0.65838874,Playmaker,Joe Ingles,F,12.1,5.7,4,,,,,,,,,
268,-2.258301964,0.754576237,Playmaker,Reggie Jackson,G,15.4,4.2,2.6,,,,,,,,,
278,-0.973359582,0.087215331,Playmaker,Stanley Johnson,F,5.3,1.6,2.3,,,,,,,,,
